,Name,Age,Market Value,Starting Eleven,Minutes,Goal Involvement
109,Gerard Moreno,33,5.0,19,23,7
110,Ayoze Perez,31,10.0,53,56,29
111,Thierno Barry,22,14.0,71,73,25
112,Nicolas Pepe,29,6.0,31,36,5
113,Hugo Duro,25,10.0,67,64,27
114,Rafa Mir,27,0.8,19,17,5
115,Diego Lopez,22,10.0,91,82,32
116,Sergi Canos,28,1.5,6,12,3
117,Ferran Torres,25,28.0,60,57,26
118,Robert Lewandowski,36,15.0,20,22,16
119,Lamine Yamal,17,180.0,80,76,32
120,Gavi,20,70.0,20,31,5
121,Raphinha,28,80.0,85,83,29
122,Dani Olmo,26,60.0,40,41,11
123,Fermin Lopez,21,50.0,60,58,11
124,Said Benrahma,29,15.0,92,91,32
125,Malick Fofana,20,25.0,40,46,14
126,Ernest Nuamah,21,15.0,43,39,7
127,Thiago Almada,23,25.0,38,51,10
128,Georges Mikautadze,24,20.0,40,48,26
129,Alexandre Lacazette,33,8.0,70,67,24
130,Gift Orban,22,10.0,47,51,22
131,Rayan Cherki,21,35.0,63,65,29
132,Mika Biereth,22,25.0,100,91,48
133,George Ilenikhena,18,15.0,17,23,9
134,Folarin Balogun,23,20.0,20,19,5
135,Eliesse Ben Seghir,20,30.0,57,59,16
136,Aleksandr Golovin,28,25.0,43,43,5
137,Breel Embolo,28,12.0,57,59,19
138,Takumi Minamino,30,15.0,80,72,14
139,Maghnes Akliouche,23,40.0,80,79,21
140,Kassoum Ouattara,20,8.0,17,14,2
141,Ibrahim Salah,23,4.0,14,14,4
142,Mahdi Camara,26,10.0,90,86,17
143,Steve Mounie,30,3.0,3,11,0
144,Romain Faivre,26,7.0,33,33,10
145,Abdallah Sima,23,10.0,45,42,17
146,Mathias Pereira Lage,28,2.0,47,46,19
147,Kamory Doumbia,22,5.0,36,43,9
148,Ludovic Ajorque,31,4.0,83,80,29
149,Romain Del Castillo,29,8.0,40,40,17
150,Theo Bair,25,1.8,37,34,7
151,Florian Aye,28,1.5,13,19,5
152,Gaetan Perrin,28,6.0,90,87,39
153,Hamed Junior Traore,25,18.0,86,78,31
154,Ado Onaiwu,29,1.8,23,29,7
155,Lassine Sinayoko,25,3.5,70,73,20
156,Sorba Thomas,26,4.0,43,43,9
157,Moses Simon,29,12.0,90,85,46
158,Mostafa Mohamed,27,6.0,33,40,17
159,Matthis Abline,22,12.0,97,90,29
160,Tino Kadewere,29,3.0,20,18,9
161,Neal Maupay,28,10.0,46,41,15
162,Elye Wahi,22,25.0,8,16,0
163,Luis Henrique,23,18.0,90,89,21
164,Mason Greenwood,23,35.0,93,91,35
165,Amine Gouiri,25,20.0,63,65,25
166,Ismaila Sarr,27,22.0,75,60,11
167,Iliman Ndiaye,25,22.0,76,72,21
168,Vitinha,25,60.0,60,69,7
169,Bradley Barcola,22,70.0,80,72,29
170,Goncalo Ramos,23,45.0,33,31,11
171,Kylian Mbappe,26,170.0,20,31,6
